Topic,Statement,Recovered source,URL,Source orientation,Confidence,Caveat
Climate change,Arctic expected to become ice-free by 2030,"WEF (2023) reporting Kim et al., Nature Communications 2023",https://www.weforum.org/stories/2023/06/arctic-ocean-ice-free-by-2030-climate-change/,International body / peer-reviewed,Medium,"Science says first ice-free day in 2030s; ""by 2030"" is a simplification"
Climate change,UK's 10 warmest years all since 2002,"Met Office, State of the UK Climate 2018",https://www.metoffice.gov.uk/about-us/news-and-media/media-centre/weather-and-climate-news/2019/state-of-the-uk-climate-2018,Nonpartisan-official,High,Near-verbatim; clearly the source
Climate change,>50% of biodiversity lost this century under business-as-usual,"Pereira et al., Science 2010, 330(6010):1496-1501 (DOI 10.1126/science.1196624)",https://www.science.org/doi/10.1126/science.1196624,International scientific (peer-reviewed),Medium,>50% is the worst-case upper bound not central estimate
Climate change,WEF estimates climate change costing $16 million per hour,WEF (2023) reporting npj Climate & Atmospheric Science,https://www.weforum.org/stories/2023/10/climate-loss-and-damage-cost-16-million-per-hour/,International body / peer-reviewed,High,"Verbatim incl. ""WEF estimates"""
Climate change,Earth always changing; ~5 deg warmer 100000 years ago,No single report; standard paleoclimate talking point,https://www.science.org.au/learning/general-audience/science-climate-change/2-how-has-climate-changed,Weak/unclear,Low,Misleading as worded (polar vs global); framing common in skeptic discourse
Climate change,OBR: cost of Net Zero by 2030 more than £300bn,"OBR, Fiscal Risks Report July 2021 (£321bn)",https://obr.uk/box/the-fiscal-cost-of-net-zero-in-the-uk-in-an-international-context/,Nonpartisan-official,Medium,£321bn is the 2050 cost NOT 2030 - misattribution in stimulus
Climate change,50% of UK energy already from renewables,"DESNZ, Energy Trends and Prices statistical release, 19 December 2024 (renewables 50.4% of UK electricity in 2024)",https://www.gov.uk/government/statistics/energy-trends-and-prices-statistical-release-19-december-2024,Nonpartisan-official,Medium,True for electricity (~50%) not total energy (~16%)
Climate change,UK energy demand down 13% since 2016,"DESNZ, Energy Consumption in the UK (ECUK) 2025 (source family; exact figure unconfirmed)",https://www.gov.uk/government/statistics/energy-consumption-in-the-uk-2025/energy-consumption-in-the-uk-ecuk-2025,Nonpartisan-official,Low,"ECUK is the right source family but exact ""13% since 2016"" not confirmed - verify in ECUK data tables or soften/drop"
Immigration,Non-EU migrants make net negative contribution,Migration Watch UK (strong version) / Migration Observatory (neutral summary),https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/,Right-leaning / academic,Medium,Contested; dynamic models (OBR 2024) say opposite; orientation depends which source used
Immigration,In 2023 more than 750000 migrants arrived,"ONS, Long-term international migration provisional, YE June 2023 (Nov 2023 release; revised net migration 745k for YE Dec 2022)",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/longterminternationalmigrationprovisional/yearendingjune2023,Nonpartisan-official,Medium,Year/measure mismatch (net vs gross; 745k is YE Dec 2022 not 2023)
