model,ground_truth,researched,response,presented,response_flip,iscontrol,sub_compliance,subject,topic,question,searchornot
GPT4o,false,no,4,pre,,0,0.8,1,criminal,1,1
GPT4o,false,yes,2,post,test,0,0.5,2,criminal,1,1
GPT4o,false,yes,2,pre,test,1,0.8,3,criminal,1,1
GPT4o,false,no,2,pre,test,1,0.7,4,criminal,1,1
GPT4o,false,no,3,pre,,0,0.7,5,criminal,1,1
GPT4o,false,no,2,post,test,1,0.8,6,criminal,1,1
GPT4o,false,no,1,post,control,0,0.7,7,criminal,1,1
GPT4o,false,yes,3,pre,,0,0.4,8,criminal,1,1
GPT4o,false,yes,1,pre,control,1,0.3,9,criminal,1,1
GPT4o,false,no,7,post,,0,0.5,10,criminal,1,1
GPT4o,false,yes,1,post,control,0,0.4,11,criminal,1,1
GPT4o,false,yes,2,pre,test,0,0.4,12,criminal,1,1
GPT4o,false,yes,5,post,,1,0.3,13,criminal,1,1
GPT4o,false,yes,5,post,,0,0.3,14,criminal,1,1
GPT4o,false,yes,2,post,test,1,0.4,15,criminal,1,1
GPT4o,false,yes,1,post,control,1,0.4,16,criminal,1,1
GPT4o,false,yes,5,pre,,0,0.6,17,criminal,1,1
GPT4o,false,no,6,post,,0,0.3,18,criminal,1,1
GPT4o,false,no,3,post,,1,0.4,19,criminal,1,1
GPT4o,false,yes,6,pre,,1,0.7,20,criminal,1,1
GPT4o,false,yes,2,pre,test,1,0.2,21,criminal,1,1
GPT4o,false,no,2,post,test,0,0.2,22,criminal,1,1
GPT4o,false,yes,7,post,,1,0.6,23,criminal,1,1
GPT4o,false,no,2,pre,test,1,0.2,24,criminal,1,1
GPT4o,false,yes,3,post,,0,0.4,25,criminal,1,1
GPT4o,false,yes,4,pre,,0,0.9,26,criminal,1,1
GPT4o,false,no,3,post,,1,0.9,27,criminal,1,1
GPT4o,false,yes,4,pre,,1,0.5,28,criminal,1,1
GPT4o,false,no,2,post,test,0,0.5,29,criminal,1,1
GPT4o,false,no,4,pre,,0,0.4,30,criminal,1,1
GPT4o,false,no,2,post,test,1,0.4,31,criminal,1,1
GPT4o,false,no,1,post,control,0,0.7,32,criminal,1,1
GPT4o,false,no,6,post,,0,0.6,33,criminal,1,1
