model,ground_truth,researched,response,presented,iscontrol,sub_compliance,subject,topic,question,searchornot
GPT4o,true,no,6,post,control,0.8,1,criminal,1,1
GPT4o,true,yes,7,post,control,0.5,2,criminal,1,1
GPT4o,true,yes,6,post,test,0.8,3,criminal,1,1
GPT4o,true,no,4,post,test,0.7,4,criminal,1,1
GPT4o,true,no,6,post,control,0.7,5,criminal,1,1
GPT4o,true,no,4,pre,test,0.8,6,criminal,1,1
GPT4o,true,no,5,pre,control,0.7,7,criminal,1,1
GPT4o,true,yes,5,post,control,0.4,8,criminal,1,1
GPT4o,true,yes,6,post,test,0.3,9,criminal,1,1
GPT4o,true,no,3,post,control,0.5,10,criminal,1,1
GPT4o,true,yes,6,pre,control,0.4,11,criminal,1,1
GPT4o,true,yes,3,post,control,0.4,12,criminal,1,1
GPT4o,true,yes,5,post,test,0.3,13,criminal,1,1
GPT4o,true,yes,4,post,control,0.3,14,criminal,1,1
GPT4o,true,yes,6,pre,test,0.4,15,criminal,1,1
GPT4o,true,yes,6,pre,test,0.4,16,criminal,1,1
GPT4o,true,yes,5,pre,control,0.6,17,criminal,1,1
GPT4o,true,no,3,pre,control,0.3,18,criminal,1,1
GPT4o,true,no,5,pre,test,0.4,19,criminal,1,1
GPT4o,true,yes,6,post,test,0.7,20,criminal,1,1
GPT4o,true,yes,5,post,test,0.2,21,criminal,1,1
GPT4o,true,no,5,pre,control,0.2,22,criminal,1,1
GPT4o,true,yes,7,post,test,0.6,23,criminal,1,1
GPT4o,true,no,6,post,test,0.2,24,criminal,1,1
GPT4o,true,yes,5,pre,control,0.4,25,criminal,1,1
GPT4o,true,yes,6,pre,control,0.9,26,criminal,1,1
GPT4o,true,no,7,post,test,0.9,27,criminal,1,1
GPT4o,true,yes,5,pre,test,0.5,28,criminal,1,1
GPT4o,true,no,7,pre,control,0.5,29,criminal,1,1
GPT4o,true,no,6,pre,control,0.4,30,criminal,1,1
GPT4o,true,no,5,post,test,0.4,31,criminal,1,1
GPT4o,true,no,7,pre,control,0.7,32,criminal,1,1
GPT4o,true,no,4,post,control,0.6,33,criminal,1,1
GPT4o,true,no,6,post,test,0.4,34,criminal,1,1
GPT4o,true,no,4,post,test,0.6,35,criminal,1,1
